bsr,basin,limiting_factor,fish_use_score,condition_score_raw_1_5,condition_score_source,condition_score,condition_rating_n,condition_review_flag,vulnerability_review_flag,fish_vulnerability_sum,population_weighted_fish_vulnerability_sum,impact_score,risk_score,risk_rank_within_bsr,action_id,action_type,action_definition,directness_code,directness_value,frequency_code,frequency_value,lfat_score,condition_improvement_component,amelioration_component,benefit_component
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,1,Protect Land (Easement and Acquisition),Protect land and water with positive habitat value through conservation easements or title acquisition. Does not include water acquisition or leases.,I,0.5,CD,0.5,0.25,0.20730624999999997,0.2069766883331675,0.059336505697249305
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,2,Instream Complexity Improvement,"Improve the complexity of the river below the ordinary high-water mark or bankfull stage. Action types may include placing large wood or boulders, gravel augmentation, riffle construction, pool construction, or channel reconstruction including channel remeandering and realignment, and developing new channels.",N,0.1,CD,0.5,0.05,0.04146125,0.0413953376666335,0.011867301139449862
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,3,Floodplain – Reconnect and Restore,"Actions that add complexity or improve connectivity within the current floodplain, or expand the floodplain area. Actions that improve the current floodplain may include vegetation or topography modifications, wetland enhancement, and beaver restoration. Actions that expand the floodplain may include levee modification and infrastructure modification/removal or instream modification intended to encourage floodplain reconnection. Actions may also add complexity to the floodplain through wood and other habitat feature additions.",I,0.5,CD,0.5,0.25,0.20730624999999997,0.2069766883331675,0.059336505697249305
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,4,Riparian Vegetation Restoration,"Restoration of riparian vegetation through protection actions (e.g., riparian fencing, off-site stock water, non-native plant removal) or planting and establishment of new riparian or aquatic plants.",I,0.5,CD,0.5,0.25,0.20730624999999997,0.2069766883331675,0.059336505697249305
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,5,Fish Passage – Barrier Removal and Replacement,Removal or replacement of in-stream structures that impede fish passage and improve access for fish. Common examples include irrigation diversion structures and culvert removal or replacements. Actions in this category may address partial or full fish passage barriers,I,0.5,R,0.1,0.05,0.04146125,0.0413953376666335,0.011867301139449862
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,6,Instream Flow Restoration,Actions that increase flow amounts including actions such as acquiring/leasing instream flow rights or irrigation system upgrades that reduce irrigation withdrawal needs.,D,1.0,CD,0.5,0.5,0.41461249999999994,0.413953376666335,0.11867301139449861
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,7,"Thermal Refuge Enhancement (reconnect, expand)",Actions intended to reconnect or improve thermal refuge including spring reconnection and increase hyporheic connection. This work may also habitat enhancement like wood placement at thermal refuge features.,N,0.1,R,0.1,0.01,0.00829225,0.0082790675333267,0.002373460227889972
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,8,Water Quality Improvement (not including temperature),"Actions that reduce pollutant inputs or improve water quality conditions, excluding temperature. Common sources include fine sediment from roads, agricultural runoff (e.g., nutrients, E. coli from livestock), and point source discharges. Specific action types may include road grading and drainage improvements, road decommissioning or abandonment, grazing management, and reduction or mitigation of point source impacts.",N,0.1,R,0.1,0.01,0.00829225,0.0082790675333267,0.002373460227889972
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,9,Nutrient Enhancement,"Addition of organic and inorganic nutrients, primarily through salmon carcass additions.",N,0.1,R,0.1,0.01,0.00829225,0.0082790675333267,0.002373460227889972
CC1,Catherine Creek,Altered Flow Timing,0.4162,4.31,0.84475,0.8292249999999999,3,False,Yes,0.9984102666136093,0.2862263231197772,0.82790675333267,0.23734602278899722,10,10,Upland Treatments,"Actions that modify upland vegetation to improve watershed hydrology such as forest thinning. These treatments are intended to increase snow retention, improve soil moisture, and/or extend late-season flows.   Forest management to create fire resilience and forest health, with potential hydrologic and sedimentation benefits. May include invasive and weed treatment in uplands.",I,0.5,CD,0.5,0.25,0.20730624999999997,0.2069766883331675,0.059336505697249305
